ID,date,PRCP
MX000017004,2010-01-05,0.0
MX000017004,2010-01-07,0.0
MX000017004,2010-01-12,0.0
MX000017004,2010-01-14,0.0
MX000017004,2010-01-15,0.0
MX000017004,2010-01-18,0.0
MX000017004,2010-01-19,0.0
MX000017004,2010-01-20,0.0
MX000017004,2010-01-21,0.0
MX000017004,2010-01-22,0.0
MX000017004,2010-01-23,0.0
MX000017004,2010-01-25,0.0
MX000017004,2010-01-26,0.0
MX000017004,2010-01-27,0.0
MX000017004,2010-01-28,0.0
MX000017004,2010-01-29,0.0
MX000017004,2010-01-30,0.0
MX000017004,2010-02-02,0.0
MX000017004,2010-02-03,0.0
MX000017004,2010-02-06,0.0
MX000017004,2010-02-07,0.0
MX000017004,2010-02-09,0.0
MX000017004,2010-02-11,0.0
MX000017004,2010-02-13,0.0
MX000017004,2010-02-20,0.0
MX000017004,2010-02-23,0.0
MX000017004,2010-02-25,0.0
MX000017004,2010-03-02,0.0
MX000017004,2010-03-04,0.0
MX000017004,2010-03-05,0.0
MX000017004,2010-03-06,0.0
MX000017004,2010-03-09,0.0
MX000017004,2010-03-10,0.0
MX000017004,2010-03-11,0.0
MX000017004,2010-03-12,0.0
MX000017004,2010-03-13,0.0
MX000017004,2010-03-16,0.0
MX000017004,2010-03-17,0.0
MX000017004,2010-03-19,0.0
MX000017004,2010-03-20,0.0
MX000017004,2010-03-23,0.0
MX000017004,2010-03-26,0.0
MX000017004,2010-03-27,0.0
MX000017004,2010-03-30,0.0
MX000017004,2010-04-01,0.0
MX000017004,2010-04-03,0.0
MX000017004,2010-04-06,0.0
MX000017004,2010-04-27,0.0
MX000017004,2010-04-30,0.0
